Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods,Description,Contact
J_01,Jakarta,Jari Indahati,Craft,Tas Rotan Batik,>50.000,4.5,Souvenir,"Jari Indahati menjual kerajinan tangan berupa tas rotan yang memiliki motif batik. Tas Rotan Jari Indahati berbentuk bulat dan terbuat dari material rotan. Bahan rotan sendiri dikenal dengan keunggulannya yang tahan terhadap cuaca dan ramah lingkungan. Tas rotan ini dilengkapi dengan kompartemen utama yang luas sehingga bisa digunakan untuk menyimpan berbagai jenis barang berukuran kecil, seperti handphone, dompet,kunci, dan lainnya",https://www.instagram.com/jari_indahati/
J_02,Jakarta,AiU Craft,Craft,Tas Kanvas,>50.000,4.9,Souvenir,"AiU Craft menjual kerajinan tangan berupa tas kanvas yang juga dapat dicustom. Tas Kanvas yang dibuat oleh AiU Craft cocok untuk sehari-hari dan berbahan kanvas 100% katun dan dilengkapi dengan resleting. Selain itu, juga terdapat kantung gantung di dalam tas.",https://www.instagram.com/aiucraft/
J_03,Jakarta,Noei Craft,Craft,Souvenir Goni,25.000-50.000,4.8,Souvenir,"Noei Craft menjual souvenir berbahan dasar goni, seperti tas, dompet. Tas berbahan dasar goni yang dibuat oleh Noei Craft dilapisi oleh furing dan dilengkapi oleh resleting. Selain itu, juga cukup untuk menyimpan hp, uang, dan alat rias.",https://www.instagram.com/noeicraft/
J_04,Jakarta,Al zheefa Lombok Craft,Craft,Tas Anyaman,>50.000,5,Souvenir,Al zheefa Lombok Craft didirikan di Jakarta dan menjual kerajinan tangan tas dari anyaman yang cocok digunakan oleh wanita dan dibuat dari bahan yang ramah lingkungan.,https://www.instagram.com/alzheefa.craft/
J_05,Jakarta,Betawi Online Gallery,Craft,"Miniatur Monas, Miniatur Ondel-Ondel",25.000-50.000,4.6,Souvenir,"Betawi Online Gallery menjual berbagai miniatur kekhasan dari Jakarta, seperti miniatur monas dan miniatur ondel-ondel. Miniatur yang dijual oleh Betawi Online Gallery berbahan dasar fiber.",https://www.instagram.com/betawi_online/
J_06,Jakarta,Reyhan Souvenir,Craft,Gantungan Kunci Monas,<25.000,4.7,Souvenir,"Reyhan Souvenir menjual gantungan kunci khas Jakarta, seperti gantungan kunci monas yang terbuat dari resin.",https://shopee.co.id/reyhan_souvenir
J_07,Jakarta,Flanelly Businesz,Craft,Alat Tulis Ondel-Ondel,<25.000,4.8,Souvenir,"Flanelly Businesz menjual alat tulis berkarakter, seperti ondel-ondel dengan bahan dasar kain flanel.",https://shopee.co.id/flanellybusinesz
J_08,Jakarta,Native Borneo,Craft,Tas Anyaman,>50.000,4.9,Souvenir,Native Borneo menjual tas anyaman dengan bahan dasar purun yang juga dilengkapi dengan handle dari eceng gondok.,https://shopee.co.id/nativeborneo
J_09,Jakarta,Poi Poi,Craft,Lampion Kertas Gantung,<25.000,4.9,Souvenir,Poi Poi yang menjual lampion yang terbuat dari kertas dan memiliki diameter 25 cm. Lampion kertas yang dijual oleh Poi-Poi cocok digunakan sebagai hiasan untuk suatu acara dan juga terdiri dari berbagai ukuran.,https://shopee.co.id/poipoishop
J_10,Jakarta,J-Craft,Craft,Masker,<25.000,5,Daily Needs,J-Craft menjual berbagai macam masker berbahan dasar katun dengan motif yang beraneka ragam.,087877444589
J_11,Jakarta,Meblia Wooden Home Furnish & Crafts,Craft,Perlengkapan Rumah berbahan Kayu,>50.000,4.8,Household Items,"Meblia Wooden Home Furnish & Crafts menjual berbagai perlengkapan rumah yang terbuat dari kayu dengan desain modern minimalis, harga terjangkau, dan berkualitas.",0811860318
J_12,Jakarta,Rambu Ata Art & Furniture,Craft,Mebel,>50.000,4.8,Household Items,Rambu Ata Art & Furniture menjual mebel dengan bahan dasar kayu yang berkualitas dan disertai dengan ukiran.,085213388877
J_13,Jakarta,Kotak Pengrajin,Craft,"Nampan, alas piring",>50.000,5,Household Items,"Kotak pengrajin menjual berbagai peralatan rumah, seperti nampan dan alas piring anyaman.",https://shopee.co.id/kotakpengrajin
J_14,Jakarta,Awa Shop,Craft,"Cobek, tampah, bakul nasi",<25.000,4.8,Daily Needs,"Awa Shop menjual berbagai keperluan untuk memasak, seperti cobek, tampah, dan bakul nasi dengan harga yang terjangkau dan berkualitas baik.",https://www.tokopedia.com/awa17
J_15,Jakarta,Batavia Market,Craft,Cobek ,25.000-50.000,4.7,Daily Needs,Batavia Market menjual cobek dan ulekan berbahan dasar kayu pilihan yang cukup ringan dan memiliki berbagai macam ukuran.,https://www.tokopedia.com/bataviamarket
J_16,Jakarta,Tajjaba Natural Ethnical,Craft,"Gelas, Sendok, Garpu, Piring kayu",<25.000,4.6,Daily Needs,"Tajjaba Natural Ethnical menjual gelas, sendok, dan garpu yang berbahan dasar kayu dan telah dipoles menggunakan 100% foodgrade, sehingga aman untuk digunakan.",https://www.tokopedia.com/taajjaba
J_17,Jakarta,Oesing Craft Wood Tableware,Craft,"Piring Kayu Bulat Bersekat, Mangkok Kayu, Sendok Garpu Kayu Jati",25.000-50.000,4.8,Daily Needs,"Oesing Craft Wood Tableware menjual piring kayu bulat dengan sekat yang berbahan dasar kayu akasia solid dan sudah termasuk food grade yang aman untuk makanan. Selain itu, Oesing Craft Wood Tableware juga menjual mangkok kayu dan Sendok Garpu yang berbahan kayu jati",https://shopee.co.id/oesingcraft
J_18,Jakarta,Catkin Handycraft,Craft,Dudukan Bantal Handphone,25.000-50.000,5,Daily Needs,Catkin Handycraft menjual dudukan bantal untuk handphone dengan motif Among Us dan terbuat dari bahan yang lembut,https://www.tokopedia.com/catkinhandycraft
J_19,Jakarta,Brown Bowl,Craft,Pot Tanah Liat,25.000-50.000,4.9,Daily Needs,Brown Bowl menjual pot rantai yang terbuat dari tanah liat dan berwarna terakota.,085265658440
J_20,Jakarta,Dodol Betawi Asli Ibu HJ. Mamas,Munchies,Dodol,25.000-50.000,4.6,Snack,Dodol Betawi Asli Ibu HJ. Mamas menjual dodol khas betawi dengan varian original dan ketan hitam.,(021) 80881977
J_21,Jakarta,Djuragan Tape Uli Betawi,Munchies,Ketan Uli,25.000-50.000,4.9,Snack,Djuragan Tape Uli Betawi menjual ketan uli dengan varian berat yang berbeda-beda dimulai dari per 500 gram.,https://www.tokopedia.com/djuragantapeulii
J_22,Jakarta,Talam Durian Jakarta,Munchies,Kue Talam,>50.000,5,Snack,Talam Durian Jakarta menjual kue talam yang memiliki varian durian dan dijual dengan harga yang terjangkau.,081381360247
J_23,Jakarta,Asinan Sayur Kebon Kacang Yusra,Munchies,Asinan,<25.000,4.6,Street Snacks,"Asinan Sayur Kebon Kacang Yusra menjual berbagai macam asinan, seperti asinan buah dan asinan sayur yang dilengkapi dengan krupuk dan bumbu yang memiliki cita rasa khas.",08118900023
J_24,Jakarta,89 Camilan,Munchies,Kue Cincin,<25.000,4.8,Street Snacks,89 Camilan menjual berbagai macam oleh-oleh khas Jakarta dan salah satu yang menjadi ciri khas toko ini adalah kue cincin yang merupakan jajanan betawi dengan tekstur yang empuk dan renyah.,https://www.tokopedia.com/kuecincin
J_25,Jakarta,Toko Kue Sumber Mas,Munchies,Kue Akar Kelapa,25.000-50.000,4.3,Snack,Toko Kue Sumber Mas menjual makanan ringan kue akar kelapa yang cocok digunakan untuk dijadikan sebagai camilan.,https://www.tokopedia.com/sumbermaskripik
J_26,Jakarta,Neng Mae,Munchies,Biji Ketapang,<25.000,4.8,Street Snacks,Neng Mae menjual biji ketapang. Biji ketapang merupakan makanan yang terbuat dari sagu dan dicampur dengan santan dan gula pasir.,https://www.tokopedia.com/neng-mae
J_27,Jakarta,Cemilan Nomello,Munchies,Pencok Betawi,>50.000,4.7,Snack,"Cemilan Nomello menjual kentang khas betawi yang bernama pencok betawi dengan dua varian, yaitu original dan pedas.",https://www.tokopedia.com/cemilannomello
J_28,Jakarta,Rempeyek De Is Diaspora UMKM,Munchies,Rempeyek,25.000-50.000,5,Snack,Rempeyek De Is Diaspora UMKM menjual peyek kacang yang dilengkapi dengan daun jeruk dan memiliki berat sebesar 200 gram.,081311100220
J_29,Jakarta,Dodol Betawi Hb. Toha,Munchies,Dodol,25.000-50.000,4.8,Snack,"Dodol Betawi Hb. Toha menjual jajanan khas betawi, yaitu dodol dengan berbagai varian, seperti ketan hitam, ketan paris, ketan durian, dan masih banyak lagi.",(021) 8411693
J_30,Jakarta,Kerak Telor Khas Betawi Al Aziz,Munchies,Kerak Telor,<25.000,4,Street Snacks,"Kerak Telor Khas Betawi Al Aziz menjual makanan khas Jakarta, yaitu kerak telor dengan dua pilihan telur, yaitu telur ayam dan telur bebek.",085782241097
