Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods
J_01,Jakarta,Jari Indahati,Craft,Tas Rotan Batik,>50.000,4.5,Souvenir
J_02,Jakarta,AiU Craft,Craft,Tas Kanvas,>50.000,4.9,Souvenir
J_03,Jakarta,Noei Craft,Craft,Souvenir Goni,25.000-50.000,4.8,Souvenir
J_04,Jakarta,Al zheefa Lombok Craft,Craft,Tas Anyaman,>50.000,5,Souvenir
J_05,Jakarta,Betawi Online Gallery,Craft,"Miniatur Monas, Miniatur Ondel-Ondel",25.000-50.000,4.6,Souvenir
J_06,Jakarta,Reyhan Souvenir,Craft,Gantungan Kunci Monas,<25.000,4.7,Souvenir
J_07,Jakarta,Flanelly Businesz,Craft,Alat Tulis Ondel-Ondel,<25.000,4.8,Souvenir
J_08,Jakarta,Native Borneo,Craft,Tas Anyaman,>50.000,4.9,Souvenir
J_09,Jakarta,Poi Poi,Craft,Lampion Kertas Gantung,<25.000,4.9,Souvenir
J_10,Jakarta,J-Craft,Craft,Masker,<25.000,5,Daily Needs
J_11,Jakarta,Meblia Wooden Home Furnish & Crafts,Craft,Perlengkapan Rumah berbahan Kayu,>50.000,4.8,Household Items
J_12,Jakarta,Rambu Ata Art & Furniture,Craft,Mebel,>50.000,4.8,Household Items
J_13,Jakarta,Kotak Pengrajin,Craft,"Nampan, alas piring",>50.000,5,Household Items
J_14,Jakarta,Awa Shop,Craft,"Cobek, tampah, bakul nasi",<25.000,4.8,Daily Needs
J_15,Jakarta,Batavia Market,Craft,Cobek batu,25.000-50.000,4.7,Daily Needs
J_16,Jakarta,Tajjaba Natural Ethnical,Craft,"Gelas, Sendok, Garpu, Piring kayu",<25.000,4.6,Daily Needs
J_17,Jakarta,Oesing Craft Wood Tableware,Craft,"Piring Kayu Bulat Bersekat, Mangkok Kayu, Sendok Garpu Kayu Jati",25.000-50.000,4.8,Daily Needs
J_18,Jakarta,Catkin Handycraft,Craft,Dudukan Bantal,25.000-50.000,5,Daily Needs
J_19,Jakarta,Brown Bowl,Craft,Pot Tanah Liat,25.000-50.000,4.9,Daily Needs
J_20,Jakarta,Dodol Betawi Asli Ibu HJ. Mamas,Munchies,Dodol,25.000-50.000,4.6,Snack
J_21,Jakarta,Djuragan Tape Uli Betawi,Munchies,Ketan Uli,25.000-50.000,4.9,Snack
J_22,Jakarta,Talam Durian Jakarta,Munchies,Kue Talam,>50.000,5,Snack
J_23,Jakarta,Asinan Sayur Kebon Kacang,Munchies,Asinan,<25.000,4.6,Street Snacks
J_24,Jakarta,89 Camilan,Munchies,Kue Cincin,<25.000,4.8,Street Snacks
J_25,Jakarta,Toko Kue Sumber Mas,Munchies,Kue Akar Kelapa,25.000-50.000,4.3,Snack
J_26,Jakarta,Neng Mae,Munchies,Biji Ketapang,<25.000,4.8,Street Snacks
J_27,Jakarta,Cemilan Nomello,Munchies,Pencok Betawi,>50.000,4.7,Snack
J_28,Jakarta,Rempeyek De Is Diaspora UMKM,Munchies,Rempeyek,25.000-50.000,5,Snack
J_29,Jakarta,Dodol Betawi Hb. Toha,Munchies,Dodol,25.000-50.000,4.8,Snack
J_30,Jakarta,Kerak Telor Khas Betawi Al Aziz,Munchies,Kerak Telor,<25.000,4,Street Snacks
J_31,Jakarta,Es Podeng 09,Munchies,Es Podeng,<25.000,5,Street Snacks
J_32,Jakarta,Nadia Jus,Munchies,Jus Buah,<25.000,4.5,Street Snacks
J_33,Jakarta,Freshjus Juice Buah Jus Bubble,Munchies,Jus Buah,<25.000,4.4,Street Snacks
J_34,Jakarta,Kerak Telor Bang Doel,Munchies,Kerak Telor,<25.000,4.6,Street Snacks
J_35,Jakarta,Ketoprak Cobek Pak Yono,F&B,Ketoprak,25.000-50.000,4.7,Main Course
J_36,Jakarta,Soto Jakarta Pak Haji Yus,F&B,Soto Betawi,>50.000,4.5,Main Course
J_37,Jakarta,Nasi Goreng Bang Ronie,F&B,Nasi Goreng,25.000-50.000,4.7,Main Course
J_38,Jakarta,Nasi Uduk Jakarta Mas Afin,F&B,Nasi Uduk,<25.000,4.6,Street Food
J_39,Jakarta,"Soto Betawi ""Senen Jaya""",F&B,Soto Betawi,>50.000,4.8,Main Course
J_40,Jakarta,Pempek Cik Mi 28,F&B,Pempek,25.000-50.000,4.4,Main Course
J_41,Jakarta,Nasi Gila Pangpol,F&B,Nasi Goreng Gila,25.000-50.000,4.5,Main Course
J_42,Jakarta,Nasi Uduk Betawi Kemandoran Bang Ama,F&B,Nasi Uduk,<25.000,4.5,Street Food
J_43,Jakarta,Ketupat Sayur Pecenongan,F&B,Ketupat Sayur,<25.000,4.8,Street Food
J_44,Jakarta,Gado-Gado Pak Udin,F&B,Gado-Gado,<25.000,4.3,Street Food
J_45,Jakarta,Seafood Ayu,F&B,Seafood,>50.000,4.5,Main Course
J_46,Jakarta,"Sate Maranggi & Sop Iga Khas Purwakarta Telaga Biru, Haji Nawi Raya",F&B,"Sate Maranggi, Sop Iga",>50.000,4.6,Main Course
J_47,Jakarta,Omar Brownies,Munchies,Brownies,>50.000,4.9,Snack
J_48,Jakarta,Dapoer Ammar - Agen Donat Murah,Munchies,Donat,<25.000,4.8,Street Snacks
J_49,Jakarta,Donat Ade,Munchies,Donat,<25.000,5,Street Snacks
J_50,Jakarta,SEMPRONG ISI BEST SELLER,Munchies,Semprong,25.000-50.000,4.9,Snack
J_51,Jakarta,Camilove Indonesia (Aneka Kue Kering),Munchies,Kue kering,25.000-50.000,4,Snack
J_52,Jakarta,Karin Kukis,Munchies,Cookies Karakter,>50.000,4.7,Snack
J_53,Jakarta,Roti Buaya Bas Snack,Munchies,Roti Buaya besar,>50.000,4.6,Snack
J_54,Jakarta,Rumah Roti Ciracas,Munchies,Roti Buaya mini,<25.000,5,Street Snacks
J_55,Jakarta,Juragan Roti,Munchies,Roti Buaya mini,<25.000,5,Street Snacks
J_56,Jakarta,Es Podeng Pandawa ,Munchies,Es Podeng,<25.000,3.3,Street Snacks
J_57,Jakarta,Es Cendol Puas 99,Munchies,Es Cendol,<25.000,4.1,Street Snacks
J_58,Jakarta,Es Cendol Durian SariSuji,Munchies,Cendol Durian,<25.000,4.5,Street Snacks
J_59,Jakarta,Cincau Ciragil,Munchies,Es Cincau,<25.000,4.7,Street Snacks
J_60,Jakarta,Es Buah Segar Pak Daud,Munchies,Es buah,<25.000,4.6,Street Snacks
J_61,Jakarta,Ijah Juice,Munchies,Jus Buah,<25.000,5,Street Snacks
J_62,Jakarta,Es Buah & Es Teler Bapakè,Munchies,"Es buah, es teler",<25.000,4.7,Street Snacks
J_63,Jakarta,Belleza Outlet,Fashion,Baju Rajut Wanita,25.000-50.000,4.6,Casual Fashion
J_64,Jakarta,Yemima Collection,Fashion,Legging Anak Motif,<25.000,4.8,Casual Fashion
J_65,Jakarta,Andalas Clothing,Fashion,Kaos Polos,25.000-50.000,4.8,Casual Fashion
J_66,Jakarta,Dienda Fashion,Fashion,Pakaian Wanita,>50.000,4.5,Formal Fashion
J_67,Jakarta,Polos.co.id,Fashion,Kaos Polos,<25.000,4.5,Casual Fashion
J_68,Jakarta,SanderAllshope,Fashion,Kaos Jakarta,<25.000,4.4,Casual Fashion
J_69,Jakarta,D.v_store88,Fashion,Kaos Jakarta,<25.000,4.6,Casual Fashion
J_70,Jakarta,Batik Betawi Terogong,Fashion,Batik,>50.000,4.7,Formal Fashion
J_71,Jakarta,Bagus Batik,Fashion,Batik,>50.000,5,Formal Fashion
J_72,Jakarta,Ursula Batik,Fashion,Batik,>50.000,4.8,Formal Fashion
J_73,Jakarta,Damaifashion,Fashion,Kaos Wanita,<25.000,4.6,Casual Fashion
Y_01,Yogyakarta,Dian Handycraft,Craft,Kerajinan Serat Alam,>50.000,4.6,Souvenir
Y_02,Yogyakarta,Moje Bag,Craft,"Sling Bag Goni, Dompet HP Goni",<25.000,4.8,Souvenir
Y_03,Yogyakarta,I Craft,Craft,Dompet Kulit,>50.000,4.8,Souvenir
Y_04,Yogyakarta,Produksi Tote Bag Jogja,Craft,Tote Bag Custom,25.000-50.000,5,Souvenir
Y_05,Yogyakarta,Kenangan Jogjaku,Craft,Tas Jinjing Batik Kecil,<25.000,4.8,Souvenir
Y_06,Yogyakarta,Walidi Craft,Craft,"Miniatur sepeda, becak, vespa",>50.000,4.6,Souvenir
Y_07,Yogyakarta,Toko Mebi,Craft,Boneka Flanel,25.000-50.000,4.8,Souvenir
Y_08,Yogyakarta,Anyaman Kita,Craft,Dompet,<25.000,4.9,Souvenir
Y_09,Yogyakarta,Yesclean market,Craft,Kursi Rotan,>50.000,5,Household Items
Y_10,Yogyakarta,Ais Jogja Craft,Craft,Kap Lampu Gantung,>50.000,4.9,Household Items
Y_11,Yogyakarta,Kerajinan Anyaman B Craft,Craft,Hiasan Dinding,25.000-50.000,4.9,Household Items
Y_12,Yogyakarta,Modemku Mega Sarana,Craft,Cobek Bakar Tanah Liat,<25.000,4.7,Daily Needs
Y_13,Yogyakarta,Marem Project,Craft,Alat Makan Kayu,<25.000,4.8,Daily Needs
Y_14,Yogyakarta,Jogja Aesthetic,Craft,Taplak Meja Anyaman,>50.000,5,Household Items
Y_15,Yogyakarta,Kay Home Decor,Craft,Perlengkapan Rumah Tangga,>50.000,4.9,Household Items
Y_16,Yogyakarta,Batik Pekalongan,Fashion,"Baju Batik, Kain Batik",>50.000,5,Formal Fashion
